epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,45.6733,2.58838,5.16102,1.80722,0.03313,0.03509,0.01184,0.0055,2.36419,4.63498,1.78511,0.00035007,0.00011669,0.00035007,0.00011669,0.00035007,0.00011669,0.00035007,0.00011669
2,52.2635,2.44665,4.43658,1.79716,0.05213,0.17669,0.03093,0.00879,2.36218,3.75985,1.86662,0.000737773,0.000245924,0.000737773,0.000245924,0.000737773,0.000245924,0.000737773,0.000245924
3,58.5715,2.45284,3.53677,1.73627,0.18608,0.10652,0.07488,0.01843,2.33803,3.41095,1.91544,0.00111227,0.000370757,0.00111227,0.000370757,0.00111227,0.000370757,0.00111227,0.000370757
4,63.0984,2.4731,3.14548,1.76999,0.18101,0.34461,0.1852,0.04708,2.31858,2.90894,1.9046,0.00147357,0.00049119,0.00147357,0.00049119,0.00147357,0.00049119,0.00147357,0.00049119
5,67.9201,2.3076,2.80859,1.7178,0.41857,0.27318,0.20862,0.06322,2.24347,2.87743,1.82573,0.00182166,0.000607221,0.00182166,0.000607221,0.00182166,0.000607221,0.00182166,0.000607221
6,71.9926,2.33825,2.43321,1.66708,0.35965,0.22055,0.24509,0.08284,2.17191,2.47076,1.70826,0.00215656,0.000718852,0.00215656,0.000718852,0.00215656,0.000718852,0.00215656,0.000718852
7,75.9436,2.20704,2.10343,1.5783,0.43205,0.25564,0.25405,0.10729,2.08053,2.16789,1.54914,0.00247825,0.000826082,0.00247825,0.000826082,0.00247825,0.000826082,0.00247825,0.000826082
8,80.4699,2.19905,1.98382,1.57549,0.44324,0.25564,0.25221,0.11413,2.03679,2.20063,1.50652,0.00278673,0.000928911,0.00278673,0.000928911,0.00278673,0.000928911,0.00278673,0.000928911
9,84.2341,2.14956,1.85919,1.4485,0.19075,0.47071,0.23455,0.10306,2.04519,2.27885,1.49608,0.00308202,0.00102734,0.00308202,0.00102734,0.00308202,0.00102734,0.00308202,0.00102734
10,87.7297,2.13498,1.74989,1.46087,0.31185,0.42093,0.27357,0.11751,2.02235,2.44539,1.47955,0.0033641,0.00112137,0.0033641,0.00112137,0.0033641,0.00112137,0.0033641,0.00112137
11,92.5497,2.14588,1.74383,1.44584,0.385,0.3797,0.30715,0.15609,2.03834,1.92426,1.44334,0.00363298,0.00121099,0.00363298,0.00121099,0.00363298,0.00121099,0.00363298,0.00121099
12,96.2734,2.02848,1.68285,1.39555,0.51767,0.37093,0.33704,0.14725,2.04378,1.88671,1.41705,0.00388865,0.00129622,0.00388865,0.00129622,0.00388865,0.00129622,0.00388865,0.00129622
13,99.7948,2.02247,1.60022,1.37934,0.48265,0.35338,0.39191,0.17632,2.02198,1.86121,1.40585,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
14,103.251,2.05149,1.56044,1.38991,0.47584,0.48622,0.41983,0.19438,1.99315,1.85143,1.39146,0.00392829,0.00130943,0.00392829,0.00130943,0.00392829,0.00130943,0.00392829,0.00130943
15,107.86,1.98967,1.48875,1.34374,0.5669,0.4599,0.43728,0.2046,2.03828,1.80234,1.4188,0.00384577,0.00128192,0.00384577,0.00128192,0.00384577,0.00128192,0.00384577,0.00128192
16,111.323,1.98913,1.46061,1.29553,0.77188,0.40727,0.45702,0.20724,2.0706,1.82917,1.43996,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
17,114.917,1.9569,1.41768,1.32077,0.63878,0.41604,0.47799,0.22002,2.04122,1.73501,1.39583,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691
18,119.539,1.9435,1.39324,1.31744,0.60568,0.45113,0.44763,0.21734,2.03372,1.72129,1.39649,0.00359822,0.00119941,0.00359822,0.00119941,0.00359822,0.00119941,0.00359822,0.00119941
19,123.076,1.87555,1.26197,1.32675,0.64306,0.49354,0.46112,0.22282,2.04415,1.64795,1.40211,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
20,126.907,1.92109,1.22631,1.30216,0.59275,0.50489,0.44781,0.22399,2.03637,1.67826,1.41612,0.00343319,0.0011444,0.00343319,0.0011444,0.00343319,0.0011444,0.00343319,0.0011444
21,130.881,1.92888,1.27367,1.31535,0.53902,0.50532,0.42428,0.20385,2.02423,1.65942,1.3921,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689
22,134.658,1.86904,1.2316,1.26351,0.53623,0.47744,0.42966,0.22437,2.03955,1.68136,1.40092,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
23,138.396,1.8648,1.18061,1.27533,0.78634,0.42431,0.47485,0.25539,2.04231,1.61726,1.38964,0.00318564,0.00106188,0.00318564,0.00106188,0.00318564,0.00106188,0.00318564,0.00106188
24,142.162,1.81382,1.13622,1.26803,0.5871,0.49499,0.45701,0.2427,2.01393,1.64836,1.3704,0.00310312,0.00103437,0.00310312,0.00103437,0.00310312,0.00103437,0.00310312,0.00103437
25,146.982,1.86216,1.17284,1.26443,0.57974,0.50802,0.47908,0.24575,2.02395,1.67384,1.39264,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
26,150.522,1.89489,1.18537,1.26404,0.76365,0.35338,0.48299,0.2404,2.05071,1.65871,1.40494,0.00293809,0.000979362,0.00293809,0.000979362,0.00293809,0.000979362,0.00293809,0.000979362
27,154.084,1.73323,1.03521,1.20554,0.60655,0.49722,0.47348,0.25209,2.08328,1.73281,1.41673,0.00285557,0.000951857,0.00285557,0.000951857,0.00285557,0.000951857,0.00285557,0.000951857
28,158.621,1.76191,1.048,1.2083,0.56712,0.42356,0.45353,0.22108,2.09575,1.78281,1.4344,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
29,162.211,1.74998,1.10412,1.24104,0.59392,0.43233,0.47469,0.22685,2.1316,1.77945,1.45833,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846
30,165.937,1.76408,1.04605,1.22166,0.72758,0.36216,0.45367,0.21543,2.18603,1.92104,1.50791,0.00260802,0.00086934,0.00260802,0.00086934,0.00260802,0.00086934,0.00260802,0.00086934
31,169.951,1.71999,1.03372,1.21013,0.75451,0.36216,0.46063,0.21667,2.18184,1.85188,1.50152,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
32,173.977,1.75357,1.02125,1.23362,0.62828,0.38847,0.47495,0.2191,2.20209,1.80203,1.50499,0.00244299,0.000814329,0.00244299,0.000814329,0.00244299,0.000814329,0.00244299,0.000814329
33,177.873,1.69339,0.9939,1.18947,0.60303,0.52355,0.48578,0.2268,2.1879,1.78816,1.50039,0.00236047,0.000786824,0.00236047,0.000786824,0.00236047,0.000786824,0.00236047,0.000786824
34,181.314,1.64201,1.02389,1.19305,0.72991,0.44236,0.47544,0.23391,2.22299,1.83019,1.53675,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
35,185.895,1.7034,0.97764,1.19649,0.82945,0.4108,0.50978,0.22916,2.20945,1.71636,1.52555,0.00219544,0.000731813,0.00219544,0.000731813,0.00219544,0.000731813,0.00219544,0.000731813
36,189.528,1.65711,0.93196,1.16504,0.856,0.42481,0.51143,0.2413,2.21147,1.80385,1.53939,0.00211292,0.000704307,0.00211292,0.000704307,0.00211292,0.000704307,0.00211292,0.000704307
37,193.151,1.68775,0.95218,1.18621,0.77807,0.40727,0.48872,0.23053,2.22663,1.76868,1.53343,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
38,197.835,1.66571,0.94359,1.16985,0.76199,0.40727,0.48345,0.2473,2.23606,1.76803,1.54052,0.00194789,0.000649297,0.00194789,0.000649297,0.00194789,0.000649297,0.00194789,0.000649297
39,201.407,1.64794,0.90521,1.15336,0.71957,0.41052,0.47608,0.24775,2.24578,1.70099,1.54314,0.00186537,0.000621791,0.00186537,0.000621791,0.00186537,0.000621791,0.00186537,0.000621791
40,204.946,1.67969,0.92629,1.1889,0.67959,0.43358,0.47753,0.25232,2.2538,1.67531,1.54881,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286
41,208.841,1.60295,0.92153,1.13974,0.68887,0.4599,0.49324,0.26207,2.24975,1.66361,1.56216,0.00170034,0.00056678,0.00170034,0.00056678,0.00170034,0.00056678,0.00170034,0.00056678
42,213.043,1.65134,0.93629,1.13442,0.66677,0.45971,0.47958,0.26154,2.26392,1.69766,1.57139,0.00161782,0.000539275,0.00161782,0.000539275,0.00161782,0.000539275,0.00161782,0.000539275
43,216.395,1.63585,0.90047,1.16549,0.84363,0.39648,0.49059,0.26264,2.26301,1.68331,1.56354,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
44,220.291,1.61813,0.92971,1.15821,0.84186,0.40727,0.49265,0.25174,2.28601,1.68332,1.57437,0.00145279,0.000484263,0.00145279,0.000484263,0.00145279,0.000484263,0.00145279,0.000484263
45,224.855,1.60179,0.88415,1.12179,0.75876,0.44236,0.4968,0.24608,2.26351,1.66067,1.55166,0.00137027,0.000456758,0.00137027,0.000456758,0.00137027,0.000456758,0.00137027,0.000456758
46,228.371,1.58145,0.88551,1.15497,0.72059,0.46168,0.5008,0.24702,2.26852,1.67872,1.54016,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253
47,231.87,1.51145,0.85473,1.12453,0.75909,0.45797,0.50313,0.24751,2.26958,1.69874,1.53858,0.00120524,0.000401747,0.00120524,0.000401747,0.00120524,0.000401747,0.00120524,0.000401747
48,235.986,1.56991,0.8868,1.12974,0.75812,0.46867,0.50161,0.26117,2.28,1.69515,1.55177,0.00112272,0.000374242,0.00112272,0.000374242,0.00112272,0.000374242,0.00112272,0.000374242
49,239.818,1.58932,0.87168,1.18734,0.73533,0.4599,0.49484,0.25286,2.25906,1.686,1.53352,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
50,243.239,1.5915,0.88927,1.13942,0.84313,0.41604,0.50591,0.25657,2.26379,1.6958,1.5653,0.000957692,0.000319231,0.000957692,0.000319231,0.000957692,0.000319231,0.000957692,0.000319231
51,262.739,1.61877,0.93201,1.18161,0.82526,0.40727,0.49323,0.25559,2.27127,1.64387,1.55832,0.000875175,0.000291725,0.000875175,0.000291725,0.000875175,0.000291725,0.000875175,0.000291725
52,272.32,1.61871,0.93923,1.21302,0.79398,0.43358,0.50052,0.25811,2.26997,1.62365,1.55703,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422
53,277.965,1.54872,0.80946,1.17503,0.79398,0.43358,0.50428,0.25759,2.27923,1.62589,1.56948,0.000710142,0.000236714,0.000710142,0.000236714,0.000710142,0.000236714,0.000710142,0.000236714
54,282.395,1.58078,0.86797,1.15967,0.74821,0.43358,0.50546,0.25109,2.27857,1.63255,1.57264,0.000627626,0.000209209,0.000627626,0.000209209,0.000627626,0.000209209,0.000627626,0.000209209
55,286.71,1.61905,0.89435,1.16536,0.83484,0.40727,0.50403,0.24812,2.27081,1.65122,1.56644,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
56,291.352,1.54586,0.87194,1.16371,0.84949,0.3985,0.5048,0.24324,2.2699,1.64113,1.56568,0.000462593,0.000154198,0.000462593,0.000154198,0.000462593,0.000154198,0.000462593,0.000154198
57,294.893,1.53348,0.82165,1.15555,0.83448,0.3985,0.50485,0.24259,2.2763,1.64836,1.55679,0.000380076,0.000126692,0.000380076,0.000126692,0.000380076,0.000126692,0.000380076,0.000126692
58,298.465,1.44346,0.78395,1.13101,0.85259,0.40727,0.51746,0.24544,2.27043,1.63762,1.564,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05
59,303.089,1.5424,0.84015,1.13523,0.70694,0.4599,0.51829,0.246,2.27878,1.64912,1.56861,0.000215043,7.1681e-05,0.000215043,7.1681e-05,0.000215043,7.1681e-05,0.000215043,7.1681e-05
60,306.599,1.54147,0.82548,1.13284,0.7159,0.46867,0.51696,0.24843,2.26801,1.66143,1.56294,0.000132527,4.41755e-05,0.000132527,4.41755e-05,0.000132527,4.41755e-05,0.000132527,4.41755e-05
